,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY.1,BID PRICE.1,ASK PRICE.1,ASK QTY.1,CHNG.1,LTP.1,IV.1,VOLUME.1,CHNG IN OI.1,OI.1
112,1232.0,-9.0,56.0,52.31,3.7,-0.6,5625.0,3.7,3.9,75.0,11700.0,75.0,2727.55,2786.7,75.0,0,0,0,0,0,2616.0
113,0,0,0,0,0,0,9975.0,1.0,27.35,9900.0,11750.0,9900.0,2291.55,3132.7,9900.0,0,0,0,0,0,0
114,1590.0,-23.0,54.0,53.6,3.8,-0.75,75.0,3.75,4.05,75.0,11800.0,75.0,2810.7,2888.35,75.0,-460.3,2588.35,0,8.0,-4.0,342.0
115,0,0,0,0,0,0,225.0,0.7,27.5,9900.0,11850.0,9900.0,2381.8,3155.5,9900.0,0,0,0,0,0,0
116,1117.0,11.0,45.0,55.49,3.9,-0.8,75.0,3.6,3.85,75.0,11900.0,75.0,2939.45,2970.8,75.0,-236.35,2693.6,0,1.0,0,72.0
117,0,0,0,0,0,0,10275.0,0.45,27.45,9900.0,11950.0,9900.0,2472.15,3267.05,9900.0,0,0,0,0,0,2.0
118,11164.0,-210.0,1537.0,55.88,3.3,-0.2,6225.0,3.15,3.25,300.0,12000.0,75.0,3051.6,3066.05,75.0,85.4,3044.0,0,38.0,-5.0,3804.0
119,0,0,0,0,0,0,9975.0,0.35,26.5,9900.0,12050.0,9900.0,2780.2,3371.8,9900.0,0,0,0,0,0,0
120,680.0,33.0,105.0,56.73,3.0,-1.35,825.0,3.0,3.15,75.0,12100.0,75.0,3121.9,3183.9,75.0,-225.0,2860.0,0,4.0,-3.0,75.0
121,0,0,0,0,0,0,450.0,0.3,125.0,3000.0,12150.0,9900.0,2652.7,3497.4,9900.0,0,0,0,0,0,0
122,438.0,-15.0,69.0,55.8,2.85,-0.35,75.0,2.3,2.7,75.0,12200.0,75.0,3231.9,3279.45,75.0,39.2,3315.0,0,5.0,-2.0,49.0
123,0,0,0,0,0,0,450.0,0.3,26.2,9900.0,12250.0,9900.0,2742.95,3617.35,9900.0,0,0,0,0,0,0
124,419.0,2.0,39.0,59.27,2.3,-0.8,600.0,2.0,3.0,450.0,12300.0,75.0,3281.4,3495.15,75.0,0,0,0,0,0,40.0
125,0,0,0,0,0,0,450.0,0.3,26.4,9900.0,12350.0,9900.0,2150.4,3735.4,9900.0,0,0,0,0,0,0
126,793.0,-4.0,25.0,59.14,2.4,-0.15,300.0,2.05,2.4,75.0,12400.0,75.0,3333.5,3672.65,9900.0,0,0,0,0,0,6.0
127,0,0,0,0,0,0,600.0,0.3,25.95,9900.0,12450.0,9900.0,2835.9,3850.1,9900.0,0,0,0,0,0,0
128,4070.0,93.0,660.0,58.79,1.8,-0.45,7575.0,1.8,1.95,75.0,12500.0,75.0,3556.55,3571.95,75.0,-51.0,3425.0,0,15.0,1.0,996.0
129,62.0,0,69.0,61.32,2.25,-0.45,75.0,2.15,2.5,75.0,12550.0,9900.0,2927.2,4019.25,9900.0,0,0,0,0,0,0
130,492.0,17.0,42.0,60.46,1.7,-0.75,300.0,1.65,1.7,150.0,12600.0,9900.0,3487.35,3936.55,75.0,0,0,0,0,0,1.0
131,0,0,0,0,0,0,9975.0,0.25,25.2,9900.0,12650.0,9900.0,2450.4,4082.35,9900.0,0,0,0,0,0,0
